,text,favourite_count,retweet_count,created_at
79,"Forse questo, è veramente il punto di non ritorno.
#WW3",1,0,2022-02-24 06:45:10
80,RT @gianluca826: #WW3 24/02/22 ore 5:00 La #Russia Invade l' #ucraina attacchi multipli sulle principali città https://t.co/ouVKR20GVU,0,8,2022-02-24 06:22:36
81,"Bro ma un 1v1 su fortnite non andava bene? 
#Putin #Biden #ww3",9,0,2022-02-24 06:20:58
82,RT @gianluca826: #WW3 24/02/22 ore 5:00 La #Russia Invade l' #ucraina attacchi multipli sulle principali città https://t.co/ouVKR20GVU,0,8,2022-02-24 06:07:45
83,RT @gianluca826: #WW3 24/02/22 ore 5:00 La #Russia Invade l' #ucraina attacchi multipli sulle principali città https://t.co/ouVKR20GVU,0,8,2022-02-24 06:01:01
84,RT @gianluca826: #WW3 24/02/22 ore 5:00 La #Russia Invade l' #ucraina attacchi multipli sulle principali città https://t.co/ouVKR20GVU,0,8,2022-02-24 05:39:13
85,RT @gianluca826: #WW3 24/02/22 ore 5:00 La #Russia Invade l' #ucraina attacchi multipli sulle principali città https://t.co/ouVKR20GVU,0,8,2022-02-24 05:38:53
86,RT @gianluca826: #WW3 24/02/22 ore 5:00 La #Russia Invade l' #ucraina attacchi multipli sulle principali città https://t.co/ouVKR20GVU,0,8,2022-02-24 05:34:47
87,"RT @ManuDagostino: Oggi, mezzi militari degli Alpini, diretti in #Romania.
#RussiaUcraina #RussiaUkraineCrisis #RussiaInvadedUkraine #WW3 #…",0,50,2022-02-24 04:23:51
88,"RT @ManuDagostino: Oggi, mezzi militari degli Alpini, diretti in #Romania.
#RussiaUcraina #RussiaUkraineCrisis #RussiaInvadedUkraine #WW3 #…",0,50,2022-02-24 04:22:56
89,"RT @ManuDagostino: Oggi, mezzi militari degli Alpini, diretti in #Romania.
#RussiaUcraina #RussiaUkraineCrisis #RussiaInvadedUkraine #WW3 #…",0,50,2022-02-24 04:22:35
90,"RT @ManuDagostino: Oggi, mezzi militari degli Alpini, diretti in #Romania.
#RussiaUcraina #RussiaUkraineCrisis #RussiaInvadedUkraine #WW3 #…",0,50,2022-02-24 04:22:19
91,"RT @ManuDagostino: Oggi, mezzi militari degli Alpini, diretti in #Romania.
#RussiaUcraina #RussiaUkraineCrisis #RussiaInvadedUkraine #WW3 #…",0,50,2022-02-24 04:21:52
92,#WW3 24/02/22 ore 5:00 La #Russia Invade l' #ucraina attacchi multipli sulle principali città https://t.co/ouVKR20GVU,16,8,2022-02-24 04:20:58
93,"RT @ManuDagostino: Gli Stati Uniti in queste ore stanno ordinando alle truppe in Europa americane e non, di effettuare un dispiegamento mil…",0,2,2022-02-23 21:16:09
94,RT @BeatrisGoteva: Oh samo do voina ne mi e #WW3,0,1,2022-02-23 20:32:02
95,Non so se sia maggiore l’ansia per la #WW3 o per l’attesa di #LOL2 @Fedez,0,0,2022-02-23 19:56:51
96,"Non vedo errori.
#RussiaUcraina #Putin #Biden #WW3 #terzaguerramondiale 
https://t.co/e1rGwfDXpP",0,0,2022-02-23 19:42:26
97,"che dire amici, non studio per la verifica di domani #WW3",1,0,2022-02-23 18:29:25
98,Oh samo do voina ne mi e #WW3,6,1,2022-02-23 17:33:16
99,Biden non voleva iniziare una WW3 ma semplicemente tagliare il gas in Europa e negli Stati Uniti e far alzare i costi per alimentare la crisi energetica. #WW3 #UkraineRussiaCrisis #Biden,0,0,2022-02-23 15:31:10
